date,open,high,low,close,volume,ups_and_downs,quote_change
2021/1/12,15549.53,15642.03,15421.23,15500.7,37438145,-56.6,-0.36
2021/1/13,15550.16,15778.52,15550.16,15769.98,37996568,269.28,1.74
2021/1/14,15651.2,15760.15,15620.96,15707.19,40205990,-62.79,-0.4
2021/1/15,15987.16,16041.59,15615.11,15616.39,44357526,-90.8,-0.58
2021/1/18,15676.45,15676.45,15320.97,15612,31881053,-4.39,-0.03
2021/1/19,15716.64,15928.14,15716.64,15877.37,32232235,265.37,1.7
2021/1/20,15934.85,16004.32,15745.48,15806.18,42867927,-71.19,-0.45
2021/1/21,15775.73,16238.46,15775.73,16153.77,36355031,347.59,2.2
2021/1/22,15984.89,16138.04,15973.02,16019.03,41342987,-134.74,-0.83
2021/1/25,16006.21,16014.96,15772.63,15946.54,35882928,-72.49,-0.45
2021/1/26,15955.16,16023.87,15589.21,15658.85,36583251,-287.69,-1.8
2021/1/27,15711.76,15837.47,15642.12,15701.45,31138755,42.6,0.27
2021/1/28,15519.85,15557.02,15367.45,15415.88,36888407,-285.57,-1.82
2021/1/29,15544.36,15603.41,15138.31,15138.31,36293817,-277.57,-1.8
2021/2/1,15176.56,15429.98,15089.96,15410.09,27768521,271.78,1.8
2021/2/2,15546.69,15838.15,15546.69,15760.05,31178726,349.96,2.27
2021/2/3,15828.64,15896.4,15741.16,15771.32,29389165,11.27,0.07
2021/2/4,15697.75,15801.37,15606.74,15706.22,25629657,-65.1,-0.41
